plant.h,block,treatment,position,source.pop,source pop number,source.fam,field.greenhouse,first.flower,rosette.diameter,height,leaf.length,SLA,branch.length,internode.number,internode.length,biomass,seeds.per.fruit ,fruits
1,1,c,1,NUH,9,NUH11,G,113,24.00,5,12.236,35.5928,n/a,n/a,n/a,2.34,5,71
2,1,c,2,SCH,11,SCH15,G,105,28.67,10,15.208,26.1204,n/a,n/a,n/a,n/a,4.8,99
3,1,c,3,SSH,15,SSH7,G,105,21.00,6,7.127,38.8673,n/a,n/a,n/a,n/a,5,121
5,1,c,5,SHH,12,SHH5,G,92,22.00,8,13.801,36.6873,n/a,n/a,n/a,n/a,5,102
6,1,c,6,SCH,11,SCH2,F,105,21.33,5,11.505,25.7649,n/a,n/a,n/a,n/a,4.8,108
7,1,c,1,SHL,13,SHL4,F,105,21.00,6,11.858,32.5744,70,9,7.77777777777778,2.66,5,75
8,1,c,2,SHL,13,SHL14,G,105,19.67,6,6.647,34.7211,n/a,n/a,n/a,n/a,5,102
10,1,c,4,PWL,10,PWL3,G,99,19.67,7,11.49,33.1644,n/a,n/a,n/a,n/a,5,87
11,1,c,5,SHL2,14,SHL215,F,99,16.00,5,10.109,26.4275,n/a,n/a,n/a,n/a,4.8,87
12,1,c,6,NBL,7,NBL8,F,92,18.00,4,8.177,30.2024,n/a,n/a,n/a,n/a,5,90
13,1,he,1,SCH,11,SCH15,G,113,31.00,19,18.833,39.8361,n/a,n/a,n/a,n/a,4.6,65
14,1,he,2,SSH,15,SSH7,G,113,29.33,18,15.528,45.5549,n/a,n/a,n/a,n/a,5,65
16,1,he,4,SCH,11,SCH2,F,127,34.67,14,19.701,42.327967806841,n/a,n/a,n/a,n/a,4.6,58
17,1,he,5,NUH,9,NUH11,G,121,33.00,13,9.515,42.3817,n/a,n/a,n/a,n/a,5,31
18,1,he,6,ERH,1,ERH5,F,105,28.00,8,17.837,47.6631,n/a,n/a,n/a,n/a,4.6,73
19,1,he,1,MHL,5,MHL10,F,113,25.00,16,19.668,43.1825,n/a,n/a,n/a,n/a,5,62
20,1,he,2,SHL2,14,SHL215,F,121,35.00,16,15.668,52.4654,n/a,n/a,n/a,n/a,5,65
21,1,he,3,SHL,13,SHL4,F,113,32.33,15,19.101,41.2059,n/a,n/a,n/a,n/a,5,86
